assignee,completion_date,estimated_completion_date,task_priority,sub_task,remain_sub_task_level,actual_duration,start_date,total_assign_task
Charlie,2025-03-29 16:45:13.455214,2025-03-30 16:45:13.455214,medium,1 pending subtasks,medium,11,2025-03-18 16:45:13.455214,3
Grace,2025-04-04 16:45:13.455214,2025-04-04 16:45:13.455214,very high,3 pending subtasks,medium,6,2025-03-29 16:45:13.455214,17
Heidi,2025-04-15 16:45:13.455214,2025-04-16 16:45:13.455214,very low,5 pending subtasks,very high,9,2025-04-06 16:45:13.455214,17
Grace,2025-04-15 16:45:13.455214,2025-04-14 16:45:13.455214,low,5 pending subtasks,low,5,2025-04-10 16:45:13.455214,19
Bob,2025-04-26 16:45:13.455214,2025-04-26 16:45:13.455214,very high,3 pending subtasks,very low,5,2025-04-21 16:45:13.455214,18
Frank,2025-05-13 16:45:13.456216,2025-05-13 16:45:13.456216,medium,4 pending subtasks,high,6,2025-05-07 16:45:13.456216,19
Heidi,2025-03-23 16:45:13.456216,2025-03-22 16:45:13.456216,medium,2 pending subtasks,high,4,2025-03-19 16:45:13.456216,20
Grace,2025-04-24 16:45:13.456216,2025-04-21 16:45:13.456216,medium,1 pending subtasks,low,11,2025-04-13 16:45:13.456216,16
Eve,2025-04-21 16:45:13.456216,2025-04-22 16:45:13.456216,very low,3 pending subtasks,medium,8,2025-04-13 16:45:13.456216,10
Eve,2025-03-28 16:45:13.456216,2025-03-29 16:45:13.456216,very low,2 pending subtasks,low,9,2025-03-19 16:45:13.456216,10
Heidi,2025-03-22 16:45:13.456216,2025-03-22 16:45:13.456216,medium,4 pending subtasks,medium,3,2025-03-19 16:45:13.456216,20
Bob,2025-03-31 16:45:13.456216,2025-03-30 16:45:13.456216,low,4 pending subtasks,high,8,2025-03-23 16:45:13.456216,17
Frank,2025-04-10 16:45:13.456216,2025-04-10 16:45:13.456216,very high,1 pending subtasks,low,4,2025-04-06 16:45:13.456216,10
Grace,2025-04-25 16:45:13.456216,2025-04-24 16:45:13.456216,very high,1 pending subtasks,very high,6,2025-04-19 16:45:13.456216,6
David,2025-05-15 16:45:13.456216,2025-05-15 16:45:13.456216,low,2 pending subtasks,very low,4,2025-05-11 16:45:13.456216,2
Heidi,2025-04-26 16:45:13.456216,2025-04-24 16:45:13.456216,medium,3 pending subtasks,low,11,2025-04-15 16:45:13.456216,12
Heidi,2025-05-15 16:45:13.456216,2025-05-15 16:45:13.456216,very low,2 pending subtasks,very low,6,2025-05-09 16:45:13.456216,12
Heidi,2025-03-21 16:45:13.456216,2025-03-21 16:45:13.456216,low,5 pending subtasks,high,1,2025-03-20 16:45:13.456216,18
Frank,2025-04-21 16:45:13.456216,2025-04-20 16:45:13.456216,medium,3 pending subtasks,very low,8,2025-04-13 16:45:13.456216,1
Grace,2025-04-08 16:45:13.456216,2025-04-07 16:45:13.456216,very high,2 pending subtasks,low,3,2025-04-05 16:45:13.456216,8
David,2025-03-19 16:45:13.456216,2025-03-18 16:45:13.456216,high,1 pending subtasks,very high,2,2025-03-17 16:45:13.456216,1
Heidi,2025-05-09 16:45:13.456216,2025-05-10 16:45:13.456216,low,1 pending subtasks,very high,11,2025-04-28 16:45:13.456216,8
Eve,2025-05-15 16:45:13.456216,2025-05-15 16:45:13.456216,medium,4 pending subtasks,medium,10,2025-05-05 16:45:13.456216,13
Frank,2025-04-05 16:45:13.456216,2025-04-04 16:45:13.456216,low,3 pending subtasks,high,13,2025-03-23 16:45:13.456216,17
Grace,2025-04-04 16:45:13.456216,2025-04-04 16:45:13.456216,very low,3 pending subtasks,very high,5,2025-03-30 16:45:13.456216,18
Eve,2025-05-17 16:45:13.456216,2025-05-16 16:45:13.456216,very low,1 pending subtasks,high,10,2025-05-07 16:45:13.456216,11
Eve,2025-03-24 16:45:13.456216,2025-03-24 16:45:13.456216,medium,3 pending subtasks,medium,4,2025-03-20 16:45:13.456216,7
Charlie,2025-04-28 16:45:13.456216,2025-04-28 16:45:13.456216,low,5 pending subtasks,very low,4,2025-04-24 16:45:13.456216,13
Frank,2025-04-14 16:45:13.456216,2025-04-14 16:45:13.456216,very low,3 pending subtasks,high,4,2025-04-10 16:45:13.456216,9
Grace,2025-04-06 16:45:13.456216,2025-04-05 16:45:13.456216,very low,5 pending subtasks,very high,12,2025-03-25 16:45:13.456216,7
Frank,2025-03-28 16:45:13.456216,2025-03-28 16:45:13.456216,low,4 pending subtasks,very high,1,2025-03-27 16:45:13.456216,12
Eve,2025-05-01 16:45:13.456216,2025-05-02 16:45:13.456216,very high,3 pending subtasks,low,14,2025-04-17 16:45:13.456216,4
Heidi,2025-04-10 16:45:13.456216,2025-04-09 16:45:13.456216,medium,2 pending subtasks,very high,5,2025-04-05 16:45:13.456216,11
Bob,2025-05-06 16:45:13.456216,2025-05-05 16:45:13.456216,low,4 pending subtasks,medium,4,2025-05-02 16:45:13.456216,11
Frank,2025-05-11 16:45:13.456216,2025-05-09 16:45:13.456216,medium,1 pending subtasks,high,11,2025-04-30 16:45:13.456216,16
Alice,2025-05-11 16:45:13.456216,2025-05-11 16:45:13.456216,very high,5 pending subtasks,very high,1,2025-05-10 16:45:13.456216,3
Heidi,2025-05-09 16:45:13.456216,2025-05-09 16:45:13.456216,very high,4 pending subtasks,very low,2,2025-05-07 16:45:13.456216,17
Eve,2025-03-28 16:45:13.456216,2025-03-27 16:45:13.456216,low,2 pending subtasks,low,10,2025-03-18 16:45:13.456216,11
Grace,2025-05-15 16:45:13.456216,2025-05-16 16:45:13.456216,high,3 pending subtasks,low,7,2025-05-08 16:45:13.456216,6
Bob,2025-05-15 16:45:13.456216,2025-05-14 16:45:13.456216,low,1 pending subtasks,medium,12,2025-05-03 16:45:13.456216,1
Heidi,2025-05-24 16:45:13.456216,2025-05-22 16:45:13.456216,low,2 pending subtasks,very high,13,2025-05-11 16:45:13.456216,16
Bob,2025-04-05 16:45:13.456216,2025-04-04 16:45:13.456216,high,4 pending subtasks,high,2,2025-04-03 16:45:13.456216,14
Heidi,2025-04-24 16:45:13.456216,2025-04-23 16:45:13.456216,very low,2 pending subtasks,very high,1,2025-04-23 16:45:13.456216,12
Alice,2025-04-15 16:45:13.456216,2025-04-16 16:45:13.456216,very high,1 pending subtasks,low,9,2025-04-06 16:45:13.456216,1
David,2025-05-05 16:45:13.457215,2025-05-04 16:45:13.457215,medium,2 pending subtasks,medium,9,2025-04-26 16:45:13.457215,4
Grace,2025-05-10 16:45:13.457215,2025-05-10 16:45:13.457215,medium,1 pending subtasks,low,8,2025-05-02 16:45:13.457215,2
Eve,2025-04-12 16:45:13.457215,2025-04-13 16:45:13.457215,high,5 pending subtasks,very high,7,2025-04-05 16:45:13.457215,17
Frank,2025-04-22 16:45:13.457215,2025-04-21 16:45:13.457215,low,4 pending subtasks,medium,14,2025-04-08 16:45:13.457215,12
David,2025-04-13 16:45:13.457215,2025-04-12 16:45:13.457215,high,2 pending subtasks,very low,1,2025-04-12 16:45:13.457215,8
Charlie,2025-05-22 16:45:13.457215,2025-05-20 16:45:13.457215,very low,5 pending subtasks,very high,14,2025-05-08 16:45:13.457215,6
Bob,2025-03-26 16:45:13.457215,2025-03-25 16:45:13.457215,very low,3 pending subtasks,high,12,2025-03-14 16:45:13.457215,18
Alice,2025-04-07 16:45:13.457215,2025-04-07 16:45:13.457215,very low,1 pending subtasks,very low,14,2025-03-24 16:45:13.457215,2
Bob,2025-03-29 16:45:13.457215,2025-03-28 16:45:13.457215,high,5 pending subtasks,very low,8,2025-03-21 16:45:13.457215,9
Heidi,2025-05-11 16:45:13.457215,2025-05-11 16:45:13.457215,low,3 pending subtasks,very low,9,2025-05-02 16:45:13.457215,14
Bob,2025-04-21 16:45:13.457215,2025-04-21 16:45:13.457215,medium,5 pending subtasks,very high,12,2025-04-09 16:45:13.457215,5
Grace,2025-04-11 16:45:13.457215,2025-04-11 16:45:13.457215,very low,5 pending subtasks,very high,3,2025-04-08 16:45:13.457215,4
Eve,2025-05-20 16:45:13.457215,2025-05-18 16:45:13.457215,very low,2 pending subtasks,high,8,2025-05-12 16:45:13.457215,20
David,2025-05-03 16:45:13.457215,2025-05-04 16:45:13.457215,very high,3 pending subtasks,low,12,2025-04-21 16:45:13.457215,14
Eve,2025-04-22 16:45:13.457215,2025-04-20 16:45:13.457215,very high,2 pending subtasks,high,8,2025-04-14 16:45:13.457215,16
Frank,2025-05-11 16:45:13.457215,2025-05-10 16:45:13.457215,very low,1 pending subtasks,very low,9,2025-05-02 16:45:13.457215,19
Heidi,2025-04-20 16:45:13.457215,2025-04-18 16:45:13.457215,very low,1 pending subtasks,very high,14,2025-04-06 16:45:13.457215,4
Eve,2025-03-28 16:45:13.457215,2025-03-28 16:45:13.457215,high,3 pending subtasks,medium,14,2025-03-14 16:45:13.457215,15
Alice,2025-04-13 16:45:13.457215,2025-04-12 16:45:13.457215,low,3 pending subtasks,very low,5,2025-04-08 16:45:13.457215,12
Frank,2025-04-11 16:45:13.457215,2025-04-10 16:45:13.457215,very low,1 pending subtasks,very low,5,2025-04-06 16:45:13.457215,1
Charlie,2025-05-05 16:45:13.457215,2025-05-05 16:45:13.457215,low,3 pending subtasks,medium,11,2025-04-24 16:45:13.457215,15
Eve,2025-05-09 16:45:13.457215,2025-05-10 16:45:13.457215,very low,3 pending subtasks,medium,10,2025-04-29 16:45:13.457215,6
Bob,2025-05-18 16:45:13.457215,2025-05-17 16:45:13.457215,high,4 pending subtasks,medium,9,2025-05-09 16:45:13.457215,16
Grace,2025-04-08 16:45:13.457215,2025-04-08 16:45:13.457215,low,2 pending subtasks,very low,10,2025-03-29 16:45:13.457215,2
Charlie,2025-04-20 16:45:13.457215,2025-04-19 16:45:13.457215,very high,5 pending subtasks,high,2,2025-04-18 16:45:13.457215,15
Charlie,2025-04-11 16:45:13.457215,2025-04-11 16:45:13.457215,medium,1 pending subtasks,very high,8,2025-04-03 16:45:13.457215,5
Heidi,2025-04-12 16:45:13.457215,2025-04-13 16:45:13.457215,very low,4 pending subtasks,high,8,2025-04-04 16:45:13.457215,2
Bob,2025-05-02 16:45:13.457215,2025-05-01 16:45:13.457215,medium,5 pending subtasks,very low,3,2025-04-29 16:45:13.457215,19
David,2025-04-06 16:45:13.457215,2025-04-06 16:45:13.457215,medium,5 pending subtasks,very high,1,2025-04-05 16:45:13.457215,20
Bob,2025-04-21 16:45:13.457215,2025-04-20 16:45:13.457215,low,3 pending subtasks,high,1,2025-04-20 16:45:13.457215,13
Charlie,2025-04-19 16:45:13.457215,2025-04-19 16:45:13.457215,very high,1 pending subtasks,very high,1,2025-04-18 16:45:13.457215,1
Charlie,2025-04-17 16:45:13.457215,2025-04-17 16:45:13.457215,high,2 pending subtasks,high,7,2025-04-10 16:45:13.457215,3
Heidi,2025-05-25 16:45:13.457215,2025-05-23 16:45:13.457215,medium,1 pending subtasks,medium,14,2025-05-11 16:45:13.457215,17
David,2025-03-29 16:45:13.457215,2025-03-29 16:45:13.457215,high,2 pending subtasks,high,8,2025-03-21 16:45:13.457215,3
Heidi,2025-04-06 16:45:13.457215,2025-04-05 16:45:13.457215,very high,1 pending subtasks,high,3,2025-04-03 16:45:13.457215,16
Heidi,2025-04-07 16:45:13.458215,2025-04-06 16:45:13.458215,high,1 pending subtasks,very low,3,2025-04-04 16:45:13.458215,13
Grace,2025-05-13 16:45:13.458215,2025-05-11 16:45:13.458215,very high,1 pending subtasks,very low,6,2025-05-07 16:45:13.458215,20
Eve,2025-05-17 16:45:13.458215,2025-05-18 16:45:13.458215,very high,4 pending subtasks,low,7,2025-05-10 16:45:13.458215,11
Frank,2025-03-31 16:45:13.458215,2025-04-01 16:45:13.458215,low,3 pending subtasks,high,8,2025-03-23 16:45:13.458215,18
Heidi,2025-04-05 16:45:13.458215,2025-04-05 16:45:13.458215,medium,1 pending subtasks,high,4,2025-04-01 16:45:13.458215,4
David,2025-05-11 16:45:13.458215,2025-05-08 16:45:13.458215,medium,5 pending subtasks,medium,13,2025-04-28 16:45:13.458215,17
Frank,2025-04-14 16:45:13.458215,2025-04-14 16:45:13.458215,very low,4 pending subtasks,low,4,2025-04-10 16:45:13.458215,5
Grace,2025-04-20 16:45:13.458215,2025-04-18 16:45:13.458215,very high,2 pending subtasks,low,7,2025-04-13 16:45:13.458215,4
Grace,2025-04-20 16:45:13.458215,2025-04-19 16:45:13.458215,low,1 pending subtasks,medium,4,2025-04-16 16:45:13.458215,14
Alice,2025-04-20 16:45:13.458215,2025-04-21 16:45:13.458215,very high,4 pending subtasks,very low,6,2025-04-14 16:45:13.458215,15
Charlie,2025-03-18 16:45:13.458215,2025-03-18 16:45:13.458215,very low,1 pending subtasks,very high,1,2025-03-17 16:45:13.458215,18
Grace,2025-04-17 16:45:13.458215,2025-04-18 16:45:13.458215,high,2 pending subtasks,very high,11,2025-04-06 16:45:13.458215,19
Charlie,2025-03-20 16:45:13.458215,2025-03-20 16:45:13.458215,low,4 pending subtasks,very low,1,2025-03-19 16:45:13.458215,20
Frank,2025-05-15 16:45:13.458215,2025-05-15 16:45:13.458215,high,5 pending subtasks,high,6,2025-05-09 16:45:13.458215,8
Eve,2025-05-21 16:45:13.458215,2025-05-20 16:45:13.458215,medium,4 pending subtasks,medium,10,2025-05-11 16:45:13.458215,5
Charlie,2025-05-19 16:45:13.458215,2025-05-18 16:45:13.458215,very high,5 pending subtasks,medium,11,2025-05-08 16:45:13.458215,11
David,2025-05-04 16:45:13.458215,2025-05-03 16:45:13.458215,very high,3 pending subtasks,medium,1,2025-05-03 16:45:13.458215,5
Charlie,2025-03-26 16:45:13.458215,2025-03-26 16:45:13.458215,medium,3 pending subtasks,very low,6,2025-03-20 16:45:13.458215,18
Heidi,2025-05-04 16:45:13.458215,2025-05-04 16:45:13.458215,high,3 pending subtasks,very high,4,2025-04-30 16:45:13.458215,14
Alice,2025-04-06 16:45:13.458215,2025-04-06 16:45:13.458215,very low,2 pending subtasks,high,8,2025-03-29 16:45:13.458215,2
Alice,2025-03-30 16:45:13.459216,2025-03-29 16:45:13.459216,low,3 pending subtasks,medium,8,2025-03-22 16:45:13.459216,5
Alice,2025-05-11 16:45:13.459216,2025-05-11 16:45:13.459216,medium,5 pending subtasks,low,13,2025-04-28 16:45:13.459216,2
Frank,2025-05-10 16:45:13.459216,2025-05-10 16:45:13.459216,very low,5 pending subtasks,very high,5,2025-05-05 16:45:13.459216,8
Grace,2025-04-18 16:45:13.459216,2025-04-17 16:45:13.459216,medium,4 pending subtasks,very low,4,2025-04-14 16:45:13.459216,13
Grace,2025-05-14 16:45:13.459216,2025-05-16 16:45:13.459216,medium,1 pending subtasks,very high,13,2025-05-01 16:45:13.459216,1
Eve,2025-05-22 16:45:13.459216,2025-05-20 16:45:13.459216,high,3 pending subtasks,low,11,2025-05-11 16:45:13.459216,19
David,2025-04-15 16:45:13.459216,2025-04-15 16:45:13.459216,low,4 pending subtasks,medium,3,2025-04-12 16:45:13.459216,6
Bob,2025-03-27 16:45:13.459216,2025-03-26 16:45:13.459216,low,1 pending subtasks,very high,4,2025-03-23 16:45:13.459216,13
Alice,2025-04-17 16:45:13.459216,2025-04-16 16:45:13.459216,very high,2 pending subtasks,medium,10,2025-04-07 16:45:13.459216,6
Eve,2025-04-11 16:45:13.459216,2025-04-08 16:45:13.459216,high,1 pending subtasks,low,11,2025-03-31 16:45:13.459216,5
Frank,2025-05-12 16:45:13.459216,2025-05-12 16:45:13.459216,very high,4 pending subtasks,medium,4,2025-05-08 16:45:13.459216,19
Frank,2025-05-16 16:45:13.459216,2025-05-13 16:45:13.459216,medium,2 pending subtasks,very high,14,2025-05-02 16:45:13.459216,6
Bob,2025-05-11 16:45:13.459216,2025-05-11 16:45:13.459216,low,5 pending subtasks,high,8,2025-05-03 16:45:13.459216,18
Grace,2025-04-11 16:45:13.459216,2025-04-10 16:45:13.459216,low,3 pending subtasks,low,6,2025-04-05 16:45:13.459216,11
Frank,2025-05-12 16:45:13.459216,2025-05-11 16:45:13.459216,very high,4 pending subtasks,very high,7,2025-05-05 16:45:13.459216,18
Alice,2025-04-06 16:45:13.459216,2025-04-04 16:45:13.459216,medium,2 pending subtasks,high,10,2025-03-27 16:45:13.459216,20
David,2025-04-08 16:45:13.459216,2025-04-10 16:45:13.459216,medium,1 pending subtasks,high,11,2025-03-28 16:45:13.459216,13
Eve,2025-05-11 16:45:13.459216,2025-05-11 16:45:13.459216,medium,5 pending subtasks,very low,10,2025-05-01 16:45:13.459216,12
Heidi,2025-05-08 16:45:13.459216,2025-05-07 16:45:13.459216,medium,3 pending subtasks,low,8,2025-04-30 16:45:13.459216,17
Bob,2025-05-04 16:45:13.460214,2025-05-05 16:45:13.460214,low,5 pending subtasks,very high,9,2025-04-25 16:45:13.460214,1
Bob,2025-04-18 16:45:13.460214,2025-04-17 16:45:13.460214,low,1 pending subtasks,high,8,2025-04-10 16:45:13.460214,7
Grace,2025-03-25 16:45:13.460214,2025-03-25 16:45:13.460214,very low,1 pending subtasks,low,11,2025-03-14 16:45:13.460214,15
Frank,2025-05-13 16:45:13.460214,2025-05-10 16:45:13.460214,very low,2 pending subtasks,very low,12,2025-05-01 16:45:13.460214,9
Bob,2025-04-11 16:45:13.460214,2025-04-11 16:45:13.460214,low,4 pending subtasks,medium,4,2025-04-07 16:45:13.460214,13
Heidi,2025-05-16 16:45:13.460214,2025-05-16 16:45:13.460214,high,1 pending subtasks,medium,8,2025-05-08 16:45:13.460214,13
Bob,2025-04-14 16:45:13.460214,2025-04-14 16:45:13.460214,very high,5 pending subtasks,very low,8,2025-04-06 16:45:13.460214,2
Bob,2025-04-02 16:45:13.460214,2025-04-01 16:45:13.460214,very high,3 pending subtasks,very low,1,2025-04-01 16:45:13.460214,10
Bob,2025-04-25 16:45:13.460214,2025-04-24 16:45:13.460214,high,4 pending subtasks,high,10,2025-04-15 16:45:13.460214,1
Heidi,2025-05-10 16:45:13.460214,2025-05-09 16:45:13.460214,low,4 pending subtasks,low,6,2025-05-04 16:45:13.460214,18
Eve,2025-04-05 16:45:13.460214,2025-04-07 16:45:13.460214,low,3 pending subtasks,medium,13,2025-03-23 16:45:13.460214,1
Charlie,2025-05-07 16:45:13.460214,2025-05-05 16:45:13.460214,very low,5 pending subtasks,very high,8,2025-04-29 16:45:13.460214,13
Bob,2025-04-08 16:45:13.460214,2025-04-07 16:45:13.460214,medium,4 pending subtasks,low,6,2025-04-02 16:45:13.460214,17
Charlie,2025-05-09 16:45:13.460214,2025-05-08 16:45:13.460214,low,3 pending subtasks,very high,7,2025-05-02 16:45:13.460214,7
Bob,2025-05-26 16:45:13.460214,2025-05-24 16:45:13.460214,very high,5 pending subtasks,very low,14,2025-05-12 16:45:13.460214,15
Bob,2025-04-11 16:45:13.460214,2025-04-10 16:45:13.460214,very low,1 pending subtasks,medium,5,2025-04-06 16:45:13.460214,7
Heidi,2025-05-01 16:45:13.460214,2025-05-03 16:45:13.460214,medium,2 pending subtasks,low,14,2025-04-17 16:45:13.460214,4
Eve,2025-04-13 16:45:13.460214,2025-04-13 16:45:13.460214,low,4 pending subtasks,medium,6,2025-04-07 16:45:13.460214,15
Frank,2025-04-29 16:45:13.460214,2025-04-29 16:45:13.460214,medium,2 pending subtasks,very high,9,2025-04-20 16:45:13.460214,19
Frank,2025-05-18 16:45:13.460214,2025-05-18 16:45:13.460214,high,1 pending subtasks,low,6,2025-05-12 16:45:13.460214,11
David,2025-03-22 16:45:13.460214,2025-03-22 16:45:13.460214,high,3 pending subtasks,medium,3,2025-03-19 16:45:13.460214,5
Frank,2025-04-08 16:45:13.460214,2025-04-08 16:45:13.460214,high,3 pending subtasks,high,5,2025-04-03 16:45:13.460214,10
Heidi,2025-04-05 16:45:13.460214,2025-04-05 16:45:13.460214,low,1 pending subtasks,very high,9,2025-03-27 16:45:13.460214,9
Charlie,2025-03-30 16:45:13.460214,2025-03-31 16:45:13.460214,low,1 pending subtasks,medium,9,2025-03-21 16:45:13.460214,3
Alice,2025-05-07 16:45:13.460214,2025-05-07 16:45:13.460214,very low,5 pending subtasks,very high,4,2025-05-03 16:45:13.460214,13
David,2025-03-22 16:45:13.460214,2025-03-22 16:45:13.460214,very high,5 pending subtasks,medium,5,2025-03-17 16:45:13.460214,18
Heidi,2025-04-26 16:45:13.460214,2025-04-26 16:45:13.460214,low,4 pending subtasks,medium,9,2025-04-17 16:45:13.460214,8
Eve,2025-04-12 16:45:13.460214,2025-04-11 16:45:13.460214,very high,1 pending subtasks,very high,4,2025-04-08 16:45:13.460214,13
Frank,2025-04-28 16:45:13.460214,2025-04-28 16:45:13.460214,low,2 pending subtasks,very high,10,2025-04-18 16:45:13.460214,17
Charlie,2025-05-08 16:45:13.460214,2025-05-07 16:45:13.460214,low,5 pending subtasks,very high,6,2025-05-02 16:45:13.460214,5
Heidi,2025-05-18 16:45:13.460214,2025-05-19 16:45:13.460214,very low,4 pending subtasks,low,7,2025-05-11 16:45:13.460214,8
Bob,2025-05-06 16:45:13.460214,2025-05-04 16:45:13.460214,low,2 pending subtasks,very low,11,2025-04-25 16:45:13.460214,17
Frank,2025-04-20 16:45:13.460214,2025-04-19 16:45:13.460214,high,1 pending subtasks,very low,11,2025-04-09 16:45:13.460214,11
Bob,2025-05-07 16:45:13.460214,2025-05-07 16:45:13.460214,very high,3 pending subtasks,medium,11,2025-04-26 16:45:13.460214,19
Charlie,2025-03-27 16:45:13.460214,2025-03-26 16:45:13.460214,high,5 pending subtasks,medium,12,2025-03-15 16:45:13.460214,3
Eve,2025-03-18 16:45:13.460214,2025-03-17 16:45:13.460214,low,4 pending subtasks,very high,3,2025-03-15 16:45:13.460214,12
Frank,2025-03-28 16:45:13.461214,2025-03-27 16:45:13.461214,high,1 pending subtasks,very high,8,2025-03-20 16:45:13.461214,17
Charlie,2025-04-25 16:45:13.461214,2025-04-24 16:45:13.461214,low,5 pending subtasks,very low,7,2025-04-18 16:45:13.461214,9
David,2025-03-28 16:45:13.461214,2025-03-27 16:45:13.461214,low,5 pending subtasks,medium,6,2025-03-22 16:45:13.461214,4
David,2025-03-29 16:45:13.461214,2025-03-28 16:45:13.461214,medium,4 pending subtasks,very low,8,2025-03-21 16:45:13.461214,16
Heidi,2025-04-11 16:45:13.461214,2025-04-10 16:45:13.461214,low,1 pending subtasks,high,1,2025-04-10 16:45:13.461214,8
Alice,2025-04-25 16:45:13.461214,2025-04-23 16:45:13.461214,very high,2 pending subtasks,low,11,2025-04-14 16:45:13.461214,17
Alice,2025-05-01 16:45:13.461214,2025-05-02 16:45:13.461214,low,2 pending subtasks,very low,10,2025-04-21 16:45:13.461214,9
Charlie,2025-04-17 16:45:13.461214,2025-04-17 16:45:13.461214,high,5 pending subtasks,very high,2,2025-04-15 16:45:13.461214,1
Eve,2025-04-23 16:45:13.461214,2025-04-23 16:45:13.461214,low,5 pending subtasks,high,1,2025-04-22 16:45:13.461214,16
Heidi,2025-05-07 16:45:13.461214,2025-05-06 16:45:13.461214,high,2 pending subtasks,very high,1,2025-05-06 16:45:13.461214,19
Charlie,2025-05-02 16:45:13.461214,2025-05-02 16:45:13.461214,very high,2 pending subtasks,medium,9,2025-04-23 16:45:13.461214,11
Heidi,2025-03-29 16:45:13.461214,2025-03-29 16:45:13.461214,very low,4 pending subtasks,low,4,2025-03-25 16:45:13.461214,13
Charlie,2025-03-26 16:45:13.461214,2025-03-25 16:45:13.461214,low,5 pending subtasks,very high,6,2025-03-20 16:45:13.461214,14
Charlie,2025-04-28 16:45:13.461214,2025-04-28 16:45:13.461214,low,5 pending subtasks,high,13,2025-04-15 16:45:13.461214,20
Alice,2025-04-04 16:45:13.461214,2025-04-04 16:45:13.461214,very high,1 pending subtasks,very high,1,2025-04-03 16:45:13.461214,3
Heidi,2025-05-07 16:45:13.461214,2025-05-07 16:45:13.461214,very high,1 pending subtasks,very high,1,2025-05-06 16:45:13.461214,14
Grace,2025-04-24 16:45:13.461214,2025-04-23 16:45:13.461214,very low,4 pending subtasks,very high,13,2025-04-11 16:45:13.461214,8
Heidi,2025-04-20 16:45:13.461214,2025-04-20 16:45:13.461214,high,5 pending subtasks,medium,7,2025-04-13 16:45:13.461214,19
Bob,2025-04-03 16:45:13.461214,2025-04-02 16:45:13.461214,medium,2 pending subtasks,high,11,2025-03-23 16:45:13.461214,3
Eve,2025-03-21 16:45:13.461214,2025-03-21 16:45:13.461214,very high,3 pending subtasks,high,3,2025-03-18 16:45:13.461214,7
Alice,2025-04-25 16:45:13.461214,2025-04-26 16:45:13.461214,very low,5 pending subtasks,very high,14,2025-04-11 16:45:13.461214,4
Alice,2025-04-15 16:45:13.461214,2025-04-14 16:45:13.461214,low,4 pending subtasks,medium,1,2025-04-14 16:45:13.461214,12
Bob,2025-04-11 16:45:13.461214,2025-04-09 16:45:13.461214,very high,3 pending subtasks,medium,13,2025-03-29 16:45:13.461214,18
Grace,2025-04-21 16:45:13.461214,2025-04-21 16:45:13.461214,very high,4 pending subtasks,medium,8,2025-04-13 16:45:13.461214,7
Grace,2025-04-26 16:45:13.461214,2025-04-26 16:45:13.461214,very high,2 pending subtasks,high,2,2025-04-24 16:45:13.461214,12
Heidi,2025-05-26 16:45:13.461214,2025-05-24 16:45:13.461214,medium,3 pending subtasks,very high,14,2025-05-12 16:45:13.461214,13
Charlie,2025-03-25 16:45:13.461214,2025-03-25 16:45:13.461214,very low,4 pending subtasks,low,2,2025-03-23 16:45:13.461214,6
Bob,2025-05-17 16:45:13.461214,2025-05-16 16:45:13.461214,high,5 pending subtasks,medium,6,2025-05-11 16:45:13.461214,20
Alice,2025-04-16 16:45:13.461214,2025-04-15 16:45:13.461214,very low,2 pending subtasks,very low,1,2025-04-15 16:45:13.461214,16
Grace,2025-04-07 16:45:13.461214,2025-04-04 16:45:13.461214,medium,3 pending subtasks,low,14,2025-03-24 16:45:13.461214,3
Alice,2025-04-08 16:45:13.461214,2025-04-08 16:45:13.461214,high,5 pending subtasks,very high,3,2025-04-05 16:45:13.461214,10
Alice,2025-05-10 16:45:13.461214,2025-05-10 16:45:13.461214,low,4 pending subtasks,high,1,2025-05-09 16:45:13.461214,1
David,2025-05-18 16:45:13.461214,2025-05-19 16:45:13.461214,very high,2 pending subtasks,medium,13,2025-05-05 16:45:13.461214,2
David,2025-03-26 16:45:13.461214,2025-03-26 16:45:13.461214,very low,2 pending subtasks,medium,7,2025-03-19 16:45:13.461214,1
Charlie,2025-05-20 16:45:13.461214,2025-05-18 16:45:13.461214,medium,3 pending subtasks,high,10,2025-05-10 16:45:13.461214,13
Grace,2025-05-06 16:45:13.461214,2025-05-06 16:45:13.461214,very high,1 pending subtasks,very low,3,2025-05-03 16:45:13.461214,3
Eve,2025-03-30 16:45:13.461214,2025-03-30 16:45:13.461214,very high,3 pending subtasks,very high,2,2025-03-28 16:45:13.461214,12
Eve,2025-03-15 16:45:13.461214,2025-03-14 16:45:13.461214,low,4 pending subtasks,high,1,2025-03-14 16:45:13.461214,19
Alice,2025-04-27 16:45:13.462214,2025-04-26 16:45:13.462214,high,1 pending subtasks,very high,7,2025-04-20 16:45:13.462214,18
Bob,2025-04-17 16:45:13.462214,2025-04-17 16:45:13.462214,medium,5 pending subtasks,very low,2,2025-04-15 16:45:13.462214,9
Eve,2025-05-19 16:45:13.462214,2025-05-20 16:45:13.462214,high,4 pending subtasks,very high,13,2025-05-06 16:45:13.462214,8
Frank,2025-05-06 16:45:13.462214,2025-05-06 16:45:13.462214,high,5 pending subtasks,high,1,2025-05-05 16:45:13.462214,1
Heidi,2025-03-24 16:45:13.462214,2025-03-22 16:45:13.462214,very low,2 pending subtasks,high,7,2025-03-17 16:45:13.462214,8
Frank,2025-05-18 16:45:13.462214,2025-05-17 16:45:13.462214,medium,5 pending subtasks,very high,8,2025-05-10 16:45:13.462214,1
